"","REO","RESBP","EE","PE","RESAP","CEG"
"227",3.875,3.714,4.25,5,4,4.172
"228",4.25,3,4.25,4.286,4,3.931
"229",4.125,4,4,5,4,4.276
"230",1.625,3.571,2.25,2.714,4.667,2.759
"231",3.875,4.286,3.25,4,3.667,3.897
"232",1.375,2.714,2,2.286,2.333,2.103
"233",4.25,3.714,4,4.714,3.667,4.138
"234",4.625,4.143,5,5,5,4.69
"235",5,3.571,5,4.714,2.667,4.345
"236",4,2.286,3.5,3.143,3.667,3.276
"237",3.875,4.143,3.75,3.857,3.667,3.897
"238",3.875,2.571,4.75,4.143,4.333,3.793
"239",2,2.143,3,3,3,2.517
"240",3.375,3.143,2.75,4.143,3,3.379
"241",4.375,4,4.25,4.571,4.333,4.31
"242",1.75,3.429,1.25,3,2.667,2.483
"243",1.75,2.429,2.25,3,3.333,2.448
"244",4.625,3.714,4.75,4.143,3.667,4.207
"245",4.25,4,2.25,4.429,5,4.034
"246",4,4.143,3.75,4.429,3.667,4.069
"247",3.5,4.571,3.25,4.857,4,4.103
"248",3.75,3.857,3.5,3.714,3.667,3.724
"249",2.375,2.286,3.5,3.143,1.667,2.621
"250",3.5,2.571,2.5,3.571,2,3
"251",4.5,3.857,4.75,4.571,4.667,4.414
"252",2.125,3,2.5,3.286,2.667,2.724
"253",3.625,3.286,2.75,3,3.667,3.276
"254",4.5,1.571,1.5,4.286,3.667,3.241
"255",3.375,3,2.75,3.857,3.667,3.345
"256",2.875,3.429,4.25,3.429,3.333,3.379
"257",3,3.714,3.5,3.429,4.333,3.483
"258",4.375,3.857,4.25,2.714,3,3.69
"259",4,4.286,4.5,4,3,4.034
"260",4.375,3.429,4,4.571,4.667,4.172
"261",3.75,2.429,4.25,3,3,3.241
"262",1.875,2.286,2.25,3.571,3.333,2.586
"263",3,3.143,3.25,4.571,2.667,3.414
"264",3.5,2.286,5,4,2.667,3.448
"265",3,2.429,4.25,4.286,1.667,3.207
"266",3.5,4.143,3,4.714,3.333,3.862
"267",2.375,1.857,4.75,4,2.333,2.966
"268",3,3.571,2.5,4,4.333,3.448
"269",4,3.571,3.75,3.857,4.667,3.897
"270",3.375,3,2.5,3.571,3,3.172
"271",3.25,2.857,3.25,3.714,3.333,3.276
"272",4.5,3.571,4.5,3.714,3.667,4
"273",5,2.143,4,5,3.667,4.034
"274",2.125,3.714,2.5,3.714,4,3.138
"275",3.5,3.286,4,3.714,2.667,3.483
"276",3.25,2,3.75,4.143,2.667,3.172
"277",2.125,2.286,1,4.286,4.667,2.793
"278",3.5,3.571,4.75,4.286,4,3.931
"279",3.375,2.286,3,3.571,3.333,3.103
"280",3.125,3.286,1.75,4.714,4.667,3.517
"281",4.375,2.571,3.25,4.429,3,3.655
"282",3.875,2.143,1,4.714,4,3.276
"283",2.75,3,3.75,3.286,2.667,3.069
"284",3.875,4.143,2.75,2.429,3.667,3.414
"285",3.875,3.429,1,4.429,2.667,3.379
"286",3.375,1.429,2.25,3.571,3,2.759
"287",3.5,3.714,4.5,4.143,3,3.793
"288",4.875,5,5,5,4.333,4.897
"289",4.625,4.286,3.75,5,4,4.448
"290",4.625,4.429,5,4.714,4.667,4.655
"291",3.625,3.429,4.25,4.429,3.667,3.862
"292",3.75,2.286,3,4.143,3,3.31
"293",4.625,4.286,4,5,3,4.379
"294",4,2.571,4.75,4.429,3.333,3.793
"295",5,2.857,5,5,1.667,4.138
"296",3.125,3.429,3.75,4,3.667,3.552
"297",5,4.429,4,5,4.667,4.69
"298",3.75,4.571,3.75,4.143,4.333,4.103
"299",5,3.857,4.5,4.429,5,4.517
"300",2.75,2.429,2.5,2,3.667,2.552
"301",3.125,4,4,4,3.667,3.724
"302",1.5,1.714,4,4.143,2.333,2.621
"303",3.625,4.286,4.25,4.857,4.667,4.276
"304",1.125,1.714,2,1.857,1.667,1.621
"305",3.5,2.714,3.25,4,3.667,3.414
"306",4.125,3.714,3,5,5,4.172
"307",3.25,3.857,4.25,4,4,3.793
"308",4.25,4.714,2,4.714,3.333,4.069
"309",4.25,2.571,2.25,4.286,4.333,3.586
"310",2.625,1.714,3.25,4.714,4.667,3.207
"311",3.125,1.429,2.75,4.286,1.333,2.759
"312",3,3.429,4.75,4,3.333,3.621
"313",2.5,1.571,3.25,2.571,2.333,2.379
"314",4,4.714,3,4.286,5,4.207
"315",4.5,4.143,4.5,4.571,4,4.379
"316",4,4.714,4.25,4.286,4,4.276
"317",4.125,4.571,3.5,3.857,3.667,4.034
"318",3.5,4.857,4,4,4,4.069
"319",2.375,1.143,2,4,3,2.483
"320",1.25,1,4,2.143,2.333,1.897
"321",4.25,2.429,2.5,4.714,3.667,3.621
"322",4.125,4.143,4.5,4.429,4.667,4.31
"323",4.375,3.286,4.5,5,4,4.241
"324",3,3,3,3,3,3
"325",3.75,2.714,5,4.571,1.667,3.655
"326",4.25,3,3.25,4.714,3.667,3.862
"327",4,3.714,4,4,3,3.828
"328",3.5,3.143,3.75,3.571,3.333,3.448
"329",3.25,3.857,4,3.857,4,3.724
"330",4.625,4,3.25,4.429,5,4.276
"331",3.25,3.286,3.25,3.429,4,3.379
"332",4.125,3,4.5,4,3.667,3.828
"333",4.75,3.571,5,5,3.333,4.414
"334",2.625,2.429,1.75,3.714,4,2.862
"335",3.375,3.429,3.5,3.857,3.333,3.517
"336",4.375,3.143,2.5,4.714,3.333,3.793
"337",3.875,3.286,3.5,4.571,4,3.862
"338",2.75,2.429,3,3.857,1.667,2.862
"339",4.375,3.857,4,4.143,3.667,4.069
"340",4.625,3.571,3.25,3.714,3.333,3.828
"341",3.875,2.714,4.75,2.857,3,3.379
"342",5,4.857,5,5,4.667,4.931
"343",3.375,3.571,2.75,4.714,4,3.724
"344",3,1.571,3.25,3.429,3,2.793
"345",4.625,4,3,4,4.667,4.103
"346",1.875,1.714,2.25,2.857,3.333,2.276
"347",3.25,3.714,4.5,3.857,4.333,3.793
"348",3.75,3.429,4.75,4.286,4,3.966
"349",2.625,3.429,3.75,3,2.667,3.069
"350",4.25,3,1.25,4.571,3.333,3.517
"351",3,4.429,2,4.429,3.667,3.621
"352",4.375,4,4.25,4.286,4.333,4.241
"353",4.5,4.429,3.25,4.857,5,4.448
"354",3.875,3.286,4.25,3.714,2.333,3.586
"355",4,4,3.5,4.429,4.667,4.103
"356",4.875,4.571,4.5,4.429,5,4.655
"357",3.625,1.429,1.75,4.571,1.667,2.862
"358",1.875,1.429,2,3.714,1.667,2.207
"359",2.25,3.429,3.25,3.571,4.333,3.207
"360",2.125,2,3.75,4.429,2,2.862
"361",3.125,2.714,2.5,4.714,2.667,3.276
"362",3.25,3.857,2.75,3.286,2.667,3.276
"363",3.625,3.571,3,3.714,4,3.586
"364",3.875,3.714,3.5,4.857,4,4.034
"365",2,2.857,3.5,4,3.667,3.069
"366",4,3.857,3.75,3.714,4,3.862
"367",2.5,2.286,1.5,2.857,3,2.448
"368",4.5,4.857,4.75,4.714,5,4.724
"369",2.5,4.143,4,4,3.333,3.552
"370",2.625,2.714,3.25,3.143,2.333,2.828
"371",2,2.714,1.75,2.714,3.667,2.483
"372",5,5,5,4.714,5,4.931
"373",4,3.429,3.75,4.857,3.333,3.966
"374",4.25,3.857,4,3.714,4,3.966
"375",2.375,3,2,3.143,3.667,2.793
"376",4.25,4.714,3.25,4.429,4,4.241
"377",3.625,2.571,3.25,4.143,3.333,3.414
"378",1.875,3.143,1,3.143,4,2.586
"379",3.25,3.857,2.5,4.286,3.667,3.586
"380",3.875,3.857,3.75,3.857,3,3.759
"381",3.125,3.143,3.25,3,3.667,3.172
"382",3.25,2.714,4,3.714,4,3.414
"383",2.875,3,3.25,3.429,3,3.103
"384",4,2.714,4.25,3.571,1.333,3.345
"385",3,2.286,4.5,3.857,3.667,3.31
"386",2.75,2.857,3,4.429,4.333,3.379
"387",4.375,4.286,3.25,4.714,4,4.241
"388",4.75,4.143,5,5,5,4.724
"389",3.875,2.429,4,4,2.667,3.448
"390",4.5,2.143,4.25,5,4.333,4
"391",2.875,1.286,3.25,3.857,2,2.69
"392",2.625,2.714,2.5,3.143,3.333,2.828
"393",3.125,2.857,4.25,4,3.333,3.448
"394",4.25,3.429,4,4.143,4.333,4
"395",3.875,3.429,4,4.286,3,3.793
"396",2.125,4.143,3.5,4.286,4.667,3.586
"397",3.875,3.714,3.25,3.857,3,3.655
"398",3.25,3.143,2.75,3.857,3.667,3.345
"399",3.75,4.143,5,4.286,3.333,4.103
"400",2.5,2.571,3,4,2.333,2.931
"401",3.125,3.429,2.25,4,2.667,3.241
"402",1.25,2.143,1,3.857,3,2.241
"403",3.5,3,3,4.286,3.667,3.517
"404",4.5,3.571,4.5,5,3.333,4.276
"405",3.375,2.714,4,4,4,3.517
"406",2.375,2.857,4.25,3.286,3,3.034
"407",4.75,3.143,4.25,4.286,3.333,4.034
"408",4.875,3.714,2.75,5,3.667,4.207
"409",2.875,3.429,3.75,3.286,3.667,3.31
"410",4.375,3.857,4.5,3,3,3.793
"411",2.625,3,3,4.143,3.333,3.207
"412",3.25,3,2.75,3.286,3,3.103
"413",3.625,4,4.75,4.286,3.333,4
"414",3.625,3.143,3,3.714,3.333,3.414
"415",4.375,1.571,3,5,3.333,3.552
"416",3.375,3.429,4.5,3.857,2.333,3.552
"417",3.25,2.714,3,3.571,1.667,3
"418",3.25,3.714,5,4.714,4.333,4.069
"419",3.75,3.143,4,3.571,3.667,3.586
"420",3.5,3.143,2,4.429,4,3.483
"421",4.75,5,4,4.714,3.667,4.586
"422",4.375,4.429,3.5,4.571,4,4.276
"423",4.25,4.714,3.25,4.714,4.667,4.379
"424",4.25,3.571,3.5,3.857,4,3.862
"425",3.625,4.429,3,3.714,4.333,3.828
"426",3.875,4.857,2.75,5,5,4.345
"427",4.375,3.286,2.75,4.571,3.667,3.862
"428",3.375,2.429,3.75,3.857,2.333,3.207
"429",3.125,3.143,3,3,3.333,3.103
"430",3.625,2.714,3,4.429,5,3.655
"431",4.5,4.857,4,4.857,4.667,4.621
"432",3.375,4.714,4,3.857,4,3.966
"433",2.625,3.429,2,4.429,4.667,3.379
"434",2.75,2.857,3.75,4.143,4,3.379
"435",1.625,4,2.75,4.714,4.333,3.379
"436",4,3.857,4,3.714,4,3.897
"437",4.75,4,3.75,4.286,3.667,4.207
"438",3,4.143,4.5,4.286,3.667,3.862
"439",3.625,3.857,2,3.571,4.333,3.517
"440",3.625,2,3.75,3.571,2,3.069
"441",3.375,1.857,3,3.286,2.333,2.828
"442",4.5,5,5,5,2.333,4.586
"443",3.125,4,2.75,4,4,3.586
"444",4,3.857,4.25,4.286,3.667,4.034
"445",4.625,3.286,3.75,4.286,4,4.034
"446",4.375,4.714,4,4.714,5,4.552
"447",3.75,3.286,3.5,4.429,4,3.793
"448",2.5,1.857,2,4.714,3.333,2.897
"449",4.25,3.857,4,4.286,4,4.103
"450",3.625,3.286,1.25,4.286,5,3.517
"451",3,3.857,4.75,4.429,1,3.586
"452",2.875,3.714,3.25,3.714,3.667,3.414
"453",3.125,3,2.25,3.571,4,3.172
"454",3.75,2.571,2,4.429,1.333,3.138
"455",2.125,3.429,1.75,4.286,2,2.897
"456",5,4.429,5,5,5,4.862
"457",3.625,1.714,4.5,3.857,3,3.276
"458",1.75,3,4,2.857,2.333,2.69
"459",2,1.857,2,3.429,1.333,2.241
"460",3.125,3,3.75,4,2.667,3.345
"461",4.25,3.571,3.75,4.571,4,4.069
"462",3.25,1.571,5,5,2.667,3.448
"463",3.5,3.857,2.5,4.286,2.667,3.552
"464",1.625,3.286,3.5,4.857,5,3.414
"465",4,2.714,4,4.429,4.333,3.828
"466",4.625,5,4.5,4.571,4.667,4.69
"467",3.5,3,2.75,3.571,4.333,3.379
"468",3.875,3.571,2.5,3.429,4.333,3.552
"469",2.875,2,2.25,4.143,3.333,2.931
"470",3.375,2.571,1.25,3,4.667,2.931
"471",4.625,3.429,4.5,4.857,4.333,4.345
"472",4.75,3.571,4.25,5,3.333,4.31
"473",4.5,4.286,5,5,5,4.69
"474",2.5,2.714,3,2.143,2.333,2.517
"475",4.75,1.429,2.5,4.143,1.667,3.172
"476",4.875,3.143,1,4,2.333,3.448
"477",3.625,2.286,3,3.429,3.333,3.138
"478",3.875,4.286,3.5,4.286,3.667,4
"479",1.625,4.429,2.75,4.571,4.667,3.483
"480",4.375,2.571,5,4.714,4,4.069
"481",2.125,2.429,3.5,4.429,3,3.034
"482",4,3,3.75,3.571,3.667,3.586
"483",5,2.143,3.5,3.714,3.667,3.655
"484",5,4.143,4.75,4.714,5,4.69
"485",2.75,2.714,4.5,4.571,3.667,3.517
"486",4,2.571,4,4,2.333,3.483
"487",3.875,3.714,1.75,4.429,3.667,3.655
"488",4.875,4.286,3.75,4.571,4.333,4.448
"489",5,4.143,5,4.429,4.667,4.621
"490",3.25,3.143,2.75,3.714,3.667,3.31
"491",3.25,3,5,4.714,4.333,3.897
"492",4.25,4,3,4.714,4,4.103
"493",3.375,3.286,3,5,2.667,3.621
"494",3.375,3.143,3.75,3.857,3,3.448
"495",1.75,1.571,2,4.857,2,2.517
"496",4.375,2.429,4.5,3.714,3.667,3.69
"497",3.625,2.429,4.75,4,3,3.517
"498",3.25,2.857,3.25,3.857,2.333,3.207
"499",3.75,4.286,4.5,4,4,4.069
"500",4,3.714,1.5,4.286,4,3.655
"501",3.875,2.571,3.75,4.286,4.333,3.69
"502",3.625,3.429,3.25,3.429,4,3.517
"503",4.75,4.286,3,4.857,4.667,4.414
"504",3.75,3.857,3.25,4.286,4.333,3.897
"505",4.5,3.286,4.5,4.143,3.667,4.034
"506",3.875,3.429,4.5,4.857,3.667,4.069
"507",4.5,2.714,2.5,5,5,3.966
"508",3.875,3.714,3.5,3.429,4,3.69
"509",4.75,3.571,2,4.429,4.333,3.966
"510",2.875,2.143,3,3.571,3.667,2.966
"511",3.375,2.714,2.75,4.429,4.667,3.517
"512",3.5,3.429,3.75,3.429,2.667,3.414
"513",4.5,3.429,5,4.857,4.333,4.379
"514",3.25,4.714,4.75,3.714,5,4.103
"515",4,4.286,3.25,5,4.667,4.276
"516",3,3.143,3,3.143,3,3.069
"517",2.5,2.857,3,5,1.333,3.138
"518",2.625,3.857,3,3.714,4.667,3.448
"519",3.625,3.714,1.75,4.857,4.667,3.793
"520",3.125,2.857,2.75,4.571,4,3.448
"521",1.625,3,1.75,5,3.667,3
"522",4.75,4.286,1.75,5,5,4.31
"523",4,2.857,4,4.714,3.333,3.828
"524",4.25,2.857,5,3.571,2,3.621
"525",3.875,3,5,4.143,4.667,3.966
"526",4.25,3,3,4.857,3.333,3.828
"527",4.5,2.429,2.5,4.429,4.333,3.69
"528",4.125,4.429,4.25,4.429,4.667,4.345
"529",3.125,2.429,1.75,4.714,1.667,3
"530",4.75,4.429,4,3.714,3,4.138
"531",4.5,4.714,4.25,4.143,4.667,4.448
"532",4.625,4.429,4,4,3.333,4.207
"533",4.125,3.857,2,4.571,3,3.759
"534",3.375,3.571,4,4.286,4.333,3.828
"535",3.125,2.571,4.5,4.429,4,3.586
"536",3.375,3,3,3.714,3,3.276
"537",3.75,3.714,4.5,4.714,4.667,4.172
"538",3.125,2.571,5,3.857,3.333,3.448
"539",4.875,3.714,3.5,4.857,3.667,4.276
"540",4.375,3.143,4.25,4.286,3.333,3.931
"541",4.875,4.286,4.5,5,4.333,4.655
"542",4.875,3.857,4.75,4.857,4.667,4.586
"543",4.125,3,4.25,3.857,4,3.793
"544",4.125,4.429,3.75,4.714,3,4.172
"545",3.5,2.571,2.5,3.571,3,3.103
"546",2.5,3,2.5,3.286,3,2.862
"547",3.25,3.286,3,3.714,3.333,3.345
"548",3.75,2.857,2,3.714,3,3.207
"549",2.625,3.286,2,3.143,3.333,2.897
"550",3.375,2.857,2.5,3.714,4,3.276
"551",3.625,4,3.25,3.857,3.333,3.69
"552",4.875,3.143,3.25,3.429,4,3.793
"553",3.75,3.286,2.75,3.429,3,3.345
"554",3.875,3.857,4.25,4.143,3.667,3.966
"555",4.25,4.143,4.75,4.857,4.667,4.483
"556",2.625,2.714,3.75,2.857,3,2.897
"557",2.75,2.429,2,3,2.333,2.586
"558",3.625,3.286,3.5,4,3,3.552
"559",4.125,3.857,3.25,4.571,3.667,4
"560",3.375,3.286,3.5,3,2.667,3.207
"561",4.25,3.571,4.25,4.429,4.333,4.138
"562",4,3.714,3.75,4.143,4.667,4
"563",2.375,3,2,3,2.333,2.621
"564",3.5,3.286,2.75,3.571,3.333,3.345
"565",2.875,2.714,3.25,3.429,4,3.138
"566",5,3.571,3.25,4.143,3.667,4.069
"567",2.5,3,3.75,3.429,2.667,3.034
"568",3,2.714,1.25,3,4,2.793
