"REO","RESBP","EE","PE","RESAP","CEG"
2.5,3.571,4.25,4.571,4,3.655
3.625,3.714,2,4.714,4,3.724
3,1,2,4.286,3,2.69
2.75,3.143,1.75,4.143,3,3.069
3.125,3,2.75,3.286,1.333,2.897
3.25,3.571,4.25,4.429,4,3.828
3.375,2.714,3.75,4.143,3.667,3.483
3.5,2.286,3.75,4,3,3.31
4,4.143,2.5,4.571,3.667,3.931
3.625,2.857,4,5,4.333,3.897
4.5,3.857,4.75,4.429,3,4.207
3.875,3.571,3.75,4.143,5,3.966
2.875,2.143,3.75,4.143,2.333,3.069
3,3.857,1.75,4.714,4,3.552
3.625,3.429,4.25,3.571,3.667,3.655
3.875,3.714,4.25,5,4,4.172
4.25,3,4.25,4.286,4,3.931
4.125,4,4,5,4,4.276
1.625,3.571,2.25,2.714,4.667,2.759
3.875,4.286,3.25,4,3.667,3.897
1.375,2.714,2,2.286,2.333,2.103
4.25,3.714,4,4.714,3.667,4.138
4.625,4.143,5,5,5,4.69
5,3.571,5,4.714,2.667,4.345
4,2.286,3.5,3.143,3.667,3.276
3.875,4.143,3.75,3.857,3.667,3.897
3.875,2.571,4.75,4.143,4.333,3.793
2,2.143,3,3,3,2.517
3.375,3.143,2.75,4.143,3,3.379
4.375,4,4.25,4.571,4.333,4.31
1.75,3.429,1.25,3,2.667,2.483
1.75,2.429,2.25,3,3.333,2.448
4.625,3.714,4.75,4.143,3.667,4.207
4.25,4,2.25,4.429,5,4.034
4,4.143,3.75,4.429,3.667,4.069
3.5,4.571,3.25,4.857,4,4.103
3.75,3.857,3.5,3.714,3.667,3.724
2.375,2.286,3.5,3.143,1.667,2.621
3.5,2.571,2.5,3.571,2,3
4.5,3.857,4.75,4.571,4.667,4.414
2.125,3,2.5,3.286,2.667,2.724
3.625,3.286,2.75,3,3.667,3.276
4.5,1.571,1.5,4.286,3.667,3.241
3.375,3,2.75,3.857,3.667,3.345
2.875,3.429,4.25,3.429,3.333,3.379
3,3.714,3.5,3.429,4.333,3.483
4.375,3.857,4.25,2.714,3,3.69
4,4.286,4.5,4,3,4.034
4.375,3.429,4,4.571,4.667,4.172
3.75,2.429,4.25,3,3,3.241
1.875,2.286,2.25,3.571,3.333,2.586
3,3.143,3.25,4.571,2.667,3.414
3.5,2.286,5,4,2.667,3.448
3,2.429,4.25,4.286,1.667,3.207
3.5,4.143,3,4.714,3.333,3.862
2.375,1.857,4.75,4,2.333,2.966
3,3.571,2.5,4,4.333,3.448
4,3.571,3.75,3.857,4.667,3.897
3.375,3,2.5,3.571,3,3.172
3.25,2.857,3.25,3.714,3.333,3.276
4.5,3.571,4.5,3.714,3.667,4
5,2.143,4,5,3.667,4.034
