"","falta_de_atencao","impulsividade","planejamento"
"508",1.85714285714286,1.58333333333333,4.3
"509",1.57142857142857,2.08333333333333,3
"510",3.42857142857143,3.41666666666667,2.8
"511",3.14285714285714,2,2.6
"512",2.57142857142857,2.41666666666667,1.6
"513",3.71428571428571,2.41666666666667,3.7
"514",3.14285714285714,2.66666666666667,3
"515",1.28571428571429,2.41666666666667,4.4
"516",2.85714285714286,3.25,3.7
"517",2.71428571428571,2.41666666666667,3.4
"518",4.14285714285714,2.5,2.9
"519",3.85714285714286,2.83333333333333,4
"520",3.42857142857143,1.25,3.1
"521",2.85714285714286,1.25,4.1
"522",2.42857142857143,2.08333333333333,4.4
"523",3.85714285714286,2.83333333333333,4.6
"524",4.57142857142857,3.25,3.5
"525",4.42857142857143,2.08333333333333,3.5
"526",3.85714285714286,3,2.7
"527",3.85714285714286,3,3.2
"528",1.85714285714286,2.58333333333333,3.6
"529",4.28571428571429,2.41666666666667,3.7
"530",1.71428571428571,2.5,3.7
"531",2.28571428571429,2.41666666666667,3.6
"532",2.14285714285714,1.66666666666667,4.2
"533",2.14285714285714,2.16666666666667,4
"534",3.57142857142857,2,2.7
"535",3.57142857142857,2.41666666666667,3.7
"536",3.57142857142857,4.16666666666667,3.8
"537",3.42857142857143,2.66666666666667,4.8
"538",3.85714285714286,2.41666666666667,2.9
"539",4.57142857142857,3.41666666666667,3.7
"540",3,3.16666666666667,4.1
"541",3.28571428571429,3.41666666666667,4.6
"542",2.57142857142857,2.5,4.2
"543",3.85714285714286,3,4.4
"544",2.42857142857143,2,3.2
"545",2.28571428571429,2.5,3.4
"546",2.42857142857143,2.08333333333333,3.7
"547",2.28571428571429,2.25,3.6
"548",3.42857142857143,2.41666666666667,2.8
"549",2.85714285714286,2.75,3.5
"550",2.28571428571429,2.41666666666667,3.4
"551",1.85714285714286,2.66666666666667,4.4
"552",2.71428571428571,3.16666666666667,4.3
"553",2.28571428571429,1.66666666666667,4.1
"554",2.42857142857143,2.25,4.4
"555",2,2.41666666666667,4.9
"556",2.71428571428571,3,3.3
"557",2.85714285714286,1.66666666666667,3.1
"558",2.57142857142857,2.91666666666667,2.7
"559",2.85714285714286,3,3.8
"560",3.71428571428571,2.91666666666667,3.6
"561",2.28571428571429,2.41666666666667,3.3
"562",2.14285714285714,2,4.2
"563",4.71428571428571,2.83333333333333,2.1
"564",2.28571428571429,2.41666666666667,3.9
"565",3.28571428571429,2.75,3.6
"566",3,2.75,4.2
"567",1,1.41666666666667,3.6
"568",3.14285714285714,2.83333333333333,2.8
"569",1.14285714285714,2,4.8
"570",3.57142857142857,2.33333333333333,2.8
"571",3.57142857142857,2.5,2.8
"572",3.14285714285714,3.83333333333333,2.8
"573",3.28571428571429,2.58333333333333,4.1
"574",3.85714285714286,2.75,3.4
"575",2.57142857142857,3.25,2.9
"576",2.14285714285714,2,3.8
"577",4.28571428571429,2.41666666666667,2.9
"578",3,3.91666666666667,4.7
"579",2.42857142857143,2.58333333333333,4.3
"580",2.42857142857143,2.91666666666667,4.7
"581",3.71428571428571,2.75,3.1
"582",4.42857142857143,2.58333333333333,2.6
"583",4.85714285714286,3.66666666666667,3.6
"584",2.42857142857143,2.91666666666667,3.6
"585",4.14285714285714,2,3.9
"586",2.42857142857143,3.08333333333333,4.6
"587",1.85714285714286,3.83333333333333,3.3
"588",2.42857142857143,2.75,4.4
"589",3.57142857142857,2.58333333333333,2.8
"590",2.85714285714286,2,3.4
"591",3.42857142857143,2.5,4.2
"592",2.42857142857143,2.33333333333333,2.8
"593",3.14285714285714,2.08333333333333,2.3
"594",3.14285714285714,3,2.9
"595",2.42857142857143,2,4.2
"596",4.71428571428571,3.33333333333333,3.2
"597",2.71428571428571,3.16666666666667,4
"598",2.71428571428571,1.91666666666667,3.1
"599",4.42857142857143,2.16666666666667,4.2
"600",2.14285714285714,2.25,4.2
"601",2.71428571428571,2.83333333333333,3
"602",2.28571428571429,1.41666666666667,2.5
"603",2.28571428571429,1.91666666666667,3.9
"604",1.85714285714286,2.91666666666667,4.2
"605",3.71428571428571,3.5,3.9
"606",3.42857142857143,4,4.6
"607",1.85714285714286,2.33333333333333,4.4
"608",2.57142857142857,2.25,3.5
"609",3.71428571428571,2.41666666666667,3.6
"610",3.85714285714286,2.66666666666667,3.1
"611",4.28571428571429,3.83333333333333,4.1
"612",5,3.58333333333333,3.1
"613",4.57142857142857,2.66666666666667,3.2
"614",4.71428571428571,2.08333333333333,3.8
"615",4.14285714285714,2.58333333333333,3.8
"616",1.28571428571429,2.58333333333333,4.8
"617",4.14285714285714,3.41666666666667,3.8
"618",2.14285714285714,1.58333333333333,2.9
"619",3.85714285714286,3.08333333333333,2.9
"620",2.57142857142857,2.25,2.8
"621",3,2.83333333333333,3
"622",3,2.25,3.9
"623",3.14285714285714,2.83333333333333,3.2
"624",3.28571428571429,2.33333333333333,2.7
"625",4.28571428571429,2.91666666666667,2.8
"626",4.42857142857143,2,3.2
"627",4.28571428571429,2.25,4
"628",3.42857142857143,3.16666666666667,4.3
"629",3.28571428571429,2.25,3
"630",4.28571428571429,2.41666666666667,2.9
"631",4,3.41666666666667,2.2
"632",3.14285714285714,2.66666666666667,3.8
"633",4.14285714285714,3.41666666666667,3.2
"634",3.14285714285714,3.5,3.4
"635",4.14285714285714,2.41666666666667,2.9
"636",1.71428571428571,2.33333333333333,3.7
"637",4.71428571428571,2.83333333333333,3.4
"638",4.28571428571429,1.75,3.5
"639",1.57142857142857,1.83333333333333,4.9
"640",3.42857142857143,3.08333333333333,3.4
"641",3.14285714285714,2.91666666666667,3.7
"642",2.71428571428571,2,4.5
"643",3,2.58333333333333,3.2
"644",3.71428571428571,2.5,3.5
"645",4,2.58333333333333,3.4
"646",3.71428571428571,4.33333333333333,2.3
"647",3.85714285714286,1.83333333333333,3.6
"648",2.71428571428571,2.83333333333333,4.2
"649",1.28571428571429,2.16666666666667,3.6
"650",4.42857142857143,2.16666666666667,3.3
"651",5,1.83333333333333,3.2
"652",3.71428571428571,3.16666666666667,3.6
"653",1,2.83333333333333,4.4
"654",2.42857142857143,2.08333333333333,3.9
"655",3,2.08333333333333,3.9
"656",2.28571428571429,1.83333333333333,3.5
"657",3.71428571428571,2.41666666666667,3.8
"658",2.71428571428571,2.5,3.1
"659",3.85714285714286,4.08333333333333,3.7
"660",2.57142857142857,2.41666666666667,3.3
"661",3.42857142857143,3.5,3.8
"662",2.57142857142857,1.33333333333333,3.3
"663",1.85714285714286,2.41666666666667,4.1
"664",2.14285714285714,2.5,4.9
"665",3.85714285714286,3.08333333333333,3.1
"666",3.85714285714286,3.25,2.9
"667",2.14285714285714,1.91666666666667,3.5
"668",4.42857142857143,3.25,3.6
"669",3.14285714285714,2.58333333333333,2.7
"670",4,3.25,1.9
"671",3.42857142857143,2.33333333333333,3.5
"672",2.14285714285714,2.33333333333333,3.5
"673",4.85714285714286,2.75,2.2
"674",2.85714285714286,3.25,4.8
"675",3.42857142857143,2.58333333333333,4.2
"676",1.85714285714286,2.33333333333333,3.8
"677",3,1.91666666666667,3.5
"678",2.57142857142857,1.91666666666667,4.3
"679",2.71428571428571,2.83333333333333,2.4
"680",4,3,3.3
"681",2.14285714285714,2.25,3.9
"682",2.28571428571429,2.33333333333333,3.8
